PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,
33,2024-09-13,6,6,,,UCO_AVP,"Garbowski, Matt",Left,UCO_HUS,1,Bottom,0,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
34,2024-09-13,6,7,,,UCO_AVP,"Garbowski, Matt",Left,UCO_HUS,1,Bottom,0,2,1,Fastball,InPlay,Undefined,PopUp,Out,1,0,88.3,,,
35,2024-09-13,1,1,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
36,2024-09-13,1,2,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
37,2024-09-13,1,3,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,0,1,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,
38,2024-09-13,1,4,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,0,1,2,Changeup,InPlay,Undefined,GroundBall,Out,1,0,34.2,,,
39,2024-09-13,2,1,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,
40,2024-09-13,2,2,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
41,2024-09-13,2,3,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,1,1,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,
42,2024-09-13,2,4,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,1,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
43,2024-09-13,2,5,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,1,2,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,57.9,,,
44,2024-09-13,3,1,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
45,2024-09-13,3,2,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,2,1,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,
46,2024-09-13,3,3,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,2,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,
47,2024-09-13,3,4,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,2,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
48,2024-09-13,3,5,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,2,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
49,2024-09-13,3,6,"Van Emon, Gabe",Left,UCO_HUS,,,UCO_AVP,2,Top,2,3,2,Fastball,StrikeSwinging,Strikeout,Undefined,Out,1,0,,,,
50,2024-09-13,1,1,,,UCO_AVP,"MacArthur, Grant",Right,UCO_HUS,2,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
51,2024-09-13,1,2,,,UCO_AVP,"MacArthur, Grant",Right,UCO_HUS,2,Bottom,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
52,2024-09-13,1,3,,,UCO_AVP,"MacArthur, Grant",Right,UCO_HUS,2,Bottom,0,2,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,91.5,,,
53,2024-09-13,1,4,,,UCO_AVP,"MacArthur, Grant",Right,UCO_HUS,2,Bottom,0,2,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,88.3,,,
54,2024-09-13,1,5,,,UCO_AVP,"MacArthur, Grant",Right,UCO_HUS,2,Bottom,0,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
55,2024-09-13,1,6,,,UCO_AVP,"MacArthur, Grant",Right,UCO_HUS,2,Bottom,0,3,2,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,,
