PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,,,,,
124,2025-01-15,5,1,"Shaw, Greg",Right,UCO_HUS,"Tirado, Gabriel",Right,UCO_HUS,3,Top,0,0,0,Changeup,InPlay,Undefined,FlyBall,Out,1,0,71.9,,,,,,,
125,2025-01-16,6,1,"Shaw, Greg",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,3,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
126,2025-01-17,6,2,"Shaw, Greg",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,3,Top,0,0,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
127,2025-01-18,6,3,"Shaw, Greg",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,3,Top,0,0,2,Slider,InPlay,Undefined,GroundBall,Single,0,0,93.4,,,,,,,
128,2025-01-19,7,1,"Shaw, Greg",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,3,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
129,2025-01-20,7,2,"Shaw, Greg",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,3,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
130,2025-01-21,7,3,"Shaw, Greg",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,3,Top,0,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
131,2025-01-22,7,4,"Shaw, Greg",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,3,Top,0,2,1,Fastball,BallCalled,Undefined,Undefined,StolenBase,0,1,,,,,,,,
132,2025-01-23,7,5,"Shaw, Greg",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,3,Top,0,3,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,
133,2025-01-24,7,6,"Shaw, Greg",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,3,Top,0,3,2,Slider,InPlay,Undefined,FlyBall,Out,1,0,79.4,,,,,,,
134,2025-01-25,8,1,"Shaw, Greg",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Top,2,0,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,77.9,,,,,,,
135,2025-01-26,8,2,"Shaw, Greg",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Top,0,0,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
136,2025-01-27,8,3,"Shaw, Greg",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Top,0,0,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
137,2025-01-28,8,4,"Shaw, Greg",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,3,Top,0,1,2,Fastball,BallCalled,HitbyPitch,Undefined,Undefined,0,0,,,,,,,,
138,2025-01-29,9,1,"Shaw, Greg",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Top,2,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
139,2025-01-30,9,2,"Shaw, Greg",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Top,0,0,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,28.7,,,,,,,
140,2025-01-31,9,3,"Shaw, Greg",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,3,Top,0,0,2,Fastball,InPlay,Undefined,GroundBall,Single,0,1,49.3,,,,,,,
141,2025-02-01,10,1,"Shaw, Greg",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,3,Top,2,0,0,Fastball,StrikeCalled,Undefined,Undefined,Out,1,0,,,,,,,,
142,2025-02-02,1,1,"Carrea, Joe",Right,UCO_HUS,"Oates, Michael",Right,UCO_HUS,3,Bottom,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
143,2025-02-03,1,2,"Carrea, Joe",Right,UCO_HUS,"Oates, Michael",Right,UCO_HUS,3,Bottom,0,0,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,
144,2025-02-04,1,3,"Carrea, Joe",Right,UCO_HUS,"Oates, Michael",Right,UCO_HUS,3,Bottom,0,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
145,2025-02-05,1,4,"Carrea, Joe",Right,UCO_HUS,"Oates, Michael",Right,UCO_HUS,3,Bottom,0,1,2,Fastball,InPlay,Undefined,FlyBall,Double,0,0,93.3,,,,,,,
146,2025-02-06,2,1,"Carrea, Joe",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,3,Bottom,0,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
147,2025-02-07,2,2,"Carrea, Joe",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,3,Bottom,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
148,2025-02-08,2,3,"Carrea, Joe",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,3,Bottom,0,1,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,
149,2025-02-09,2,4,"Carrea, Joe",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,3,Bottom,0,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
150,2025-02-10,2,5,"Carrea, Joe",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,3,Bottom,0,2,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
151,2025-02-11,2,6,"Carrea, Joe",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,3,Bottom,0,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
152,2025-02-12,2,7,"Carrea, Joe",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,3,Bottom,0,3,2,Fastball,BallCalled,HitbyPitch,Undefined,Undefined,0,0,,,,,,,,
153,2025-02-13,3,1,"Carrea, Joe",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,3,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
154,2025-02-14,3,2,"Carrea, Joe",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,3,Bottom,0,1,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
155,2025-02-15,3,3,"Carrea, Joe",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,3,Bottom,0,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
156,2025-02-16,3,4,"Carrea, Joe",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,3,Bottom,0,2,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
157,2025-02-17,3,5,"Carrea, Joe",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,3,Bottom,0,2,2,Slider,Strikeout,Undefined,Undefined,Error,1,1,,,,,,,,
158,2025-02-18,4,1,"Carrea, Joe",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,1,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
159,2025-02-19,4,2,"Carrea, Joe",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,0,0,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
160,2025-02-20,4,3,"Carrea, Joe",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,0,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
161,2025-02-21,4,4,"Carrea, Joe",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,0,1,2,Slider ,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
162,2025-02-22,4,5,"Carrea, Joe",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,0,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
163,2025-02-23,4,6,"Carrea, Joe",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,3,Bottom,0,3,2,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,,,,,,,
164,2025-02-24,5,1,"Carrea, Joe",Right,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,3,Bottom,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
165,2025-02-25,5,2,"Carrea, Joe",Right,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,3,Bottom,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
166,2025-02-26,5,3,"Carrea, Joe",Right,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,3,Bottom,0,1,1,Fastball,InPlay,Undefined,FlyBall,Sacrifice,1,1,89.3,,,,,,,
167,2025-02-27,6,1,"Carrea, Joe",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,3,Bottom,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
168,2025-02-28,6,2,"Carrea, Joe",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,3,Bottom,0,1,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
169,2025-03-01,6,3,"Carrea, Joe",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,3,Bottom,0,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
170,2025-03-02,6,4,"Carrea, Joe",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,3,Bottom,0,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
171,2025-03-03,6,5,"Carrea, Joe",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,3,Bottom,0,3,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
172,2025-03-04,6,6,"Carrea, Joe",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,3,Bottom,0,3,2,Slider,StrikeSwinging,Strikeout,Undefined,Out,1,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
