PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,,,,,
29,2024-10-12,7,4,"Mayer, Cameron",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,1,Top,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
30,2024-10-13,7,5,"Mayer, Cameron",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,1,Top,0,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
31,2024-10-14,7,6,"Mayer, Cameron",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,1,Top,0,3,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
32,2024-10-15,7,7,"Mayer, Cameron",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,1,Top,0,3,2,Fastball,BallCalled,HitbyPitch,Undefined,Undefined,0,0,,,,,,,,
33,2024-10-16,8,1,"Mayer, Cameron",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,1,Top,1,0,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,
34,2024-10-17,8,2,"Mayer, Cameron",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,1,Top,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
35,2024-10-18,8,3,"Mayer, Cameron",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
36,2024-10-19,8,4,"Mayer, Cameron",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,1,Top,0,2,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
37,2024-10-20,8,5,"Mayer, Cameron",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,1,Top,0,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
38,2024-10-21,8,6,"Mayer, Cameron",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,1,Top,0,3,2,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,,,,,,
39,2024-10-22,1,1,"Alejandro, Hector",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,1,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
40,2024-10-23,1,2,"Alejandro, Hector",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,1,Bottom,0,1,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,,,,,
41,2024-10-24,1,3,"Alejandro, Hector",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,1,Bottom,0,1,1,Slider,InPlay,Undefined,GroundBall,Error,0,0,60.5,,,,,,,
42,2024-10-25,2,1,"Alejandro, Hector",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,1,Bottom,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
43,2024-10-26,2,2,"Alejandro, Hector",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,1,Bottom,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
44,2024-10-27,2,3,"Alejandro, Hector",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,1,Bottom,0,2,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
45,2024-10-28,2,4,"Alejandro, Hector",Right,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,1,Bottom,0,3,0,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,,,,,,
46,2024-10-29,3,1,"Alejandro, Hector",Right,UCO_HUS,"MacArthur, Grant",Right,UCO_HUS,1,Bottom,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
47,2024-10-30,3,2,"Alejandro, Hector",Right,UCO_HUS,"MacArthur, Grant",Right,UCO_HUS,1,Bottom,0,0,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,
48,2024-10-31,3,3,"Alejandro, Hector",Right,UCO_HUS,"MacArthur, Grant",Right,UCO_HUS,1,Bottom,0,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
49,2024-11-01,3,4,"Alejandro, Hector",Right,UCO_HUS,"MacArthur, Grant",Right,UCO_HUS,1,Bottom,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Out,1,0,,,,,,,,
50,2024-11-02,4,1,"Alejandro, Hector",Right,UCO_HUS,"Garbowski, Matt",Left ,UCO_HUS,1,Bottom,1,0,0,Fastball,BallCalled,Undefined,Undefined,StolenBase,0,1,,,,,,,,
51,2024-11-03,4,2,"Alejandro, Hector",Right,UCO_HUS,"Garbowski, Matt",Left ,UCO_HUS,1,Bottom,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
52,2024-11-04,4,3,"Alejandro, Hector",Right,UCO_HUS,"Garbowski, Matt",Left ,UCO_HUS,1,Bottom,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,
