,Player,,,,AB,R,H,X1B,X2B,X3B,HR,,,,BB,HBP,,,,SF,SH,
53,Andrew Bergeron (Georgetown),0.242,0.908,42-15,66,16,16,7,4,1,4,17,34,0.515,13,4,26,1,0.393,1,1,3-Feb
54,Colby Canales (Creighton),0.241,0.923,7-Oct,29,3,7,2,3,0,2,6,16,0.552,6,0,8,2,0.371,0,0,0-0
55,"HASSERT, CAMERON (Villanova)",0.238,0.748,49-47,181,35,43,28,8,1,6,25,71,0.392,28,7,48,2,0.356,3,4,9-Aug
56,"CHARNEY, Drew (Butler)",0.238,0.584,13-7,21,4,5,5,0,0,0,2,5,0.238,2,2,6,0,0.346,1,1,0-0
57,"DePREY, Matthew (Xavier)",0.238,0.697,21-21,80,11,19,14,3,0,2,8,28,0.35,14,0,17,2,0.347,1,1,2-Feb
58,"WACHSMANN, Isaac (Xavier)",0.235,0.934,15-14,51,11,12,6,0,1,5,10,29,0.569,10,1,16,2,0.365,1,0,0-1
59,"MISCH, Connor (Xavier)",0.232,0.84,20-17,69,13,16,7,4,0,5,9,35,0.507,8,3,19,2,0.333,1,0,2-Feb
60,"VIERA, Max (Seton Hall)",0.231,0.533,11-Nov,39,4,9,9,0,0,0,1,9,0.231,3,1,9,0,0.302,0,0,3-Mar
61,"BRIENZA, Anthony (St. John's)",0.227,0.646,21-21,66,9,15,12,2,1,0,9,19,0.288,10,4,13,0,0.358,1,4,0-0
62,Will MacLean (Creighton),0.225,0.677,10-Nov,40,5,9,5,3,1,0,8,14,0.35,5,2,1,1,0.327,2,0,0-0
63,"LUDERS, Jonathan (Seton Hall)",0.224,0.615,15-15,49,3,11,9,1,0,1,6,15,0.306,2,4,3,2,0.309,0,3,0-0
64,"CUSHING, Jared (Xavier)",0.217,0.674,21-21,83,15,18,13,2,1,2,14,28,0.337,11,4,16,4,0.337,0,0,4-Mar
65,"WURCH, Billy (Butler)",0.214,0.673,11-Dec,42,10,9,6,2,0,1,7,14,0.333,4,4,15,0,0.34,0,1,0-0
66,"HANSEN, AJ (Villanova)",0.177,0.594,50-48,164,34,29,20,6,1,2,10,43,0.262,25,14,54,0,0.332,2,6,15-Dec
67,"MUNTON, Zach (Butler)",0.176,0.462,14-8,34,5,6,5,1,0,0,4,7,0.206,2,2,8,0,0.256,1,0,0-0
68,"POKROVSKY, Staus (Seton Hall)",0.176,0.589,14-14,51,9,9,7,0,0,2,6,15,0.294,7,2,13,2,0.295,1,0,1-Jan
69,"STEPHENSON, Grant (Xavier)",0.17,0.587,19-17,53,6,9,6,2,0,1,9,14,0.264,9,3,16,0,0.323,0,2,0-0
70,"CHOI, Ian (Butler)",0.167,0.425,17-13,48,6,8,7,0,0,1,8,11,0.229,2,0,19,0,0.196,1,3,0-0
71,"BIANCO, Andrew (Seton Hall)",0.118,0.324,10-Oct,34,3,4,3,0,0,1,3,7,0.206,0,0,4,1,0.118,0,1,0-1
