#, AB, Date, Time Stamp, Pitch, Strike Zone, P. Type, Velo, LA, Dist, Res, Type, Horiz. Angle, Pts, Strike Zone Bottom, Strike Zone Top, Strike Zone Width, Vertical Distance, Horizontal Distance, POI X, POI Y, POI Z, Spray Chart X, Spray Chart Z, Fielded X, Fielded Z, Bat Material, User, Pitch Angle, Batting, Level, Opposing Player, Tag
1, 1, 8/28/2024 10:45:55.292, 0:0:0.000, 0.0, , OT, 84.8, 10.1, 171, 1B-8, LD, -4, 54, 23.5, 43.1, 17.0, -33.3, 0.0, 0.00, 0.00, 0.00, -13.2, 170.1, -19.4, 248.6, Undefined, Beau Root, 0.0, Left, Baseball - College, , 
2, 2, 8/28/2024 10:46:01.803, 0:0:6.511, 0.0, , OT, 82.2, 17.4, 232, 1B-8, LD, -8, 57, 23.5, 43.1, 17.0, -33.3, 0.0, 0.00, 0.00, 0.00, -33.4, 229.3, -37.8, 259.1, Undefined, Beau Root, 0.0, Left, Baseball - College, , 
3, 3, 8/28/2024 10:46:08.730, 0:0:13.438, 0.0, , OT, 86.2, 12.5, 200, 1B-8, LD, 1, 63, 23.5, 43.1, 17.0, -33.3, 0.0, 0.00, 0.00, 0.00, 2.2, 199.8, 2.7, 248.1, Undefined, Beau Root, 0.0, Left, Baseball - College, , 
4, 4, 8/28/2024 10:46:15.610, 0:0:20.318, 0.0, , OT, 85.8, 13.5, 210, 1B-8, LD, 0, 63, 23.5, 43.1, 17.0, -33.3, 0.0, 0.00, 0.00, 0.00, 1.5, 209.6, 1.7, 247.7, Undefined, Beau Root, 0.0, Left, Baseball - College, , 
5, 5, 8/28/2024 10:46:26.579, 0:0:31.287, 0.0, , OT, 82.7, 20.2, 257, F8, LD, -6, 56, 23.5, 43.1, 17.0, -33.3, 0.0, 0.00, 0.00, 0.00, -25.3, 255.9, -25.0, 253.7, Undefined, Beau Root, 0.0, Left, Baseball - College, , 
6, 6, 8/28/2024 10:49:20.483, 0:3:25.191, 0.0, , OT, 84.5, 15.0, 221, 1B-8, LD, 1, 61, 23.5, 43.1, 17.0, -33.3, 0.0, 0.00, 0.00, 0.00, 2.6, 221.3, 2.8, 247.7, Undefined, Beau Root, 0.0, Left, Baseball - College, , 
7, 7, 8/28/2024 10:49:27.211, 0:3:31.919, 0.0, , OT, 81.3, 22.9, 269, F8, LD, -1, 54, 23.5, 43.1, 17.0, -33.3, 0.0, 0.00, 0.00, 0.00, -3.9, 268.9, -3.8, 257.1, Undefined, Beau Root, 0.0, Left, Baseball - College, , 
8, 8, 8/28/2024 10:49:34.873, 0:3:39.581, 0.0, , OT, 82.3, 24.2, 283, F8, LD, -1, 58, 23.5, 43.1, 17.0, -33.3, 0.0, 0.00, 0.00, 0.00, -5.0, 283.2, -4.8, 272.4, Undefined, Beau Root, 0.0, Left, Baseball - College, , 
9, 9, 8/28/2024 10:49:44.067, 0:3:48.775, 0.0, , OT, 87.2, 11.4, 194, 1B-8, LD, 4, 64, 23.5, 43.1, 17.0, -33.3, 0.0, 0.00, 0.00, 0.00, 15.0, 193.1, 19.5, 251.5, Undefined, Beau Root, 0.0, Left, Baseball - College, , 
10, 10, 8/28/2024 10:49:50.898, 0:3:55.606, 0.0, , OT, 88.2, 6.0, 129, 1B-8, LD, 9, 56, 23.5, 43.1, 17.0, -33.3, 0.0, 0.00, 0.00, 0.00, 19.7, 127.4, 39.8, 258.5, Undefined, Beau Root, 0.0, Left, Baseball - College, , 
11, 11, 8/28/2024 10:49:59.743, 0:4:4.451, 0.0, , OT, 80.9, 22.9, 268, F8, LD, 3, 53, 23.5, 43.1, 17.0, -33.3, 0.0, 0.00, 0.00, 0.00, 12.4, 267.7, 11.8, 255.2, Undefined, Beau Root, 0.0, Left, Baseball - College, , 
