PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed
30,9/10/24,3,3,"Carrea, Joe",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,1,Bottom,1,1,1,Fastball,InPlay,Undefined,FlyBall,Out,1,0,88.5
31,9/10/24,4,1,"Carrea, Joe",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,Undefined,1,Bottom,2,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,
32,9/10/24,4,2,"Carrea, Joe",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,Undefined,1,Bottom,2,1,0,Fastball,InPlay,Undefined,GroundBall,Out,1,0,54.7
33,9/10/24,1,1,"Alejandro, Hector",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,2,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
34,9/10/24,1,2,"Alejandro, Hector",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,2,Top,0,1,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
35,9/10/24,1,3,"Alejandro, Hector",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,2,Top,0,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,
36,9/10/24,1,4,"Alejandro, Hector",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,2,Top,0,2,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
37,9/10/24,1,5,"Alejandro, Hector",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,2,Top,0,2,2,Changeup,InPlay,Undefined,LineDrive,Single,0,0,90.1
38,9/10/24,2,1,"Alejandro, Hector",Right,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,Undefined,2,Top,0,0,0,Fastball,InPlay,Undefined,LineDrive,Single,0,0,92
39,9/10/24,3,1,"Alejandro, Hector",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,Undefined,2,Top,0,0,0,Changeup,InPlay,Undefined,LineDrive,Double,1,2,98.3
40,9/10/24,4,1,"Alejandro, Hector",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,Undefined,2,Top,1,0,0,Changeup,InPlay,Undefined,FlyBall,Out,1,0,83.7
41,9/10/24,5,1,"Alejandro, Hector",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,2,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
42,9/10/24,5,2,"Alejandro, Hector",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,2,Top,2,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
43,9/10/24,5,3,"Alejandro, Hector",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,2,Top,2,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
44,9/10/24,5,4,"Alejandro, Hector",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,2,Top,2,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
45,9/10/24,5,5,"Alejandro, Hector",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,2,Top,2,3,1,Fastball,InPlay,Undefined,LineDrive,Single,0,0,82.2
46,9/10/24,6,1,"Alejandro, Hector",Right,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,Undefined,2,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
47,9/10/24,6,2,"Alejandro, Hector",Right,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,Undefined,2,Top,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
48,9/10/24,6,3,"Alejandro, Hector",Right,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,Undefined,2,Top,2,2,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
49,9/10/24,6,4,"Alejandro, Hector",Right,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,Undefined,2,Top,2,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
50,9/10/24,6,5,"Alejandro, Hector",Right,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,Undefined,2,Top,2,3,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
51,9/10/24,6,6,"Alejandro, Hector",Right,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,Undefined,2,Top,2,3,2,Slider,StrikeSwinging,Strikeout,Undefined,Out,1,0,
52,9/10/24,1,1,"Carrea, Joe",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,Undefined,2,Bottom,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
53,9/10/24,1,2,"Carrea, Joe",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,Undefined,2,Bottom,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
54,9/10/24,1,3,"Carrea, Joe",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,Undefined,2,Bottom,0,1,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
55,9/10/24,1,4,"Carrea, Joe",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,Undefined,2,Bottom,0,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
56,9/10/24,1,5,"Carrea, Joe",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,Undefined,2,Bottom,0,2,2,Slider,InPlay,Undefined,FlyBall,Double,0,0,100.9
57,9/10/24,2,1,"Carrea, Joe",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,Undefined,2,Bottom,0,0,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
58,9/10/24,2,2,"Carrea, Joe",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,Undefined,2,Bottom,0,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
59,9/10/24,2,3,"Carrea, Joe",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,Undefined,2,Bottom,0,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
60,9/10/24,2,4,"Carrea, Joe",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,Undefined,2,Bottom,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
61,9/10/24,2,5,"Carrea, Joe",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,Undefined,2,Bottom,0,2,2,Fastball,InPlay,Undefined,GroundBall,Triple,0,1,94.1
62,9/10/24,3,1,"Carrea, Joe",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,Undefined,2,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
63,9/10/24,3,2,"Carrea, Joe",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,Undefined,2,Bottom,0,1,0,Fastball,InPlay,Undefined,LineDrive,Single,0,1,74.4
64,9/10/24,4,1,"Carrea, Joe",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,Undefined,2,Bottom,0,0,0,Slider,BallCalled,Undefined,Undefined,StolenBase,0,0,
