PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed
130,9/10/24,1,4,"Shaw, Greg",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,Undefined,4,Top,0,2,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
131,9/10/24,1,5,"Shaw, Greg",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,Undefined,4,Top,0,2,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
132,9/10/24,1,6,"Shaw, Greg",Right,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,Undefined,4,Top,0,2,2,Fastball,InPlay,Undefined,LineDrive,Single,0,0,87.8
133,9/10/24,2,1,"Shaw, Greg",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,Undefined,4,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
134,9/10/24,2,2,"Shaw, Greg",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,Undefined,4,Top,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
135,9/10/24,2,3,"Shaw, Greg",Right,UCO_HUS,"Biller, Sam",Left,UCO_HUS,Undefined,4,Top,0,1,1,Fastball,InPlay,Undefined,Groundball,Single,0,0,101.1
136,9/10/24,3,1,"Shaw, Greg",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,4,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
137,9/10/24,3,2,"Shaw, Greg",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,4,Top,0,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
138,9/10/24,3,3,"Shaw, Greg",Right,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,4,Top,0,1,1,Slider,InPlay,Undefined,LineDrive,Single,0,0,100.9
139,9/10/24,4,1,"Shaw, Greg",Right,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,Undefined,4,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
140,9/10/24,4,2,"Shaw, Greg",Right,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,Undefined,4,Top,0,0,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,68.7
141,9/10/24,4,3,"Shaw, Greg",Right,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,Undefined,4,Top,0,0,2,Fastball,InPlay,Undefined,FlyBall,Sacrifice,1,1,94.1
142,9/10/24,5,1,"Shaw, Greg",Right,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,4,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,
143,9/10/24,5,2,"Shaw, Greg",Right,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,4,Top,1,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
144,9/10/24,5,3,"Shaw, Greg",Right,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,4,Top,1,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
145,9/10/24,5,4,"Shaw, Greg",Right,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,4,Top,1,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
146,9/10/24,5,5,"Shaw, Greg",Right,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,4,Top,1,1,2,Slider,InPlay,Undefined,FlyBall,Sacrifice,1,1,79.3
147,9/10/24,6,1,"Shaw, Greg",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,4,Top,2,0,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
148,9/10/24,6,2,"Shaw, Greg",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,4,Top,2,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
149,9/10/24,6,3,"Shaw, Greg",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,4,Top,2,1,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
150,9/10/24,6,4,"Shaw, Greg",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,4,Top,2,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
151,9/10/24,6,5,"Shaw, Greg",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,Undefined,4,Top,2,2,2,Fastball,InPlay,Undefined,LineDrive,Single,0,1,84.6
152,9/10/24,7,1,"Shaw, Greg",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,Undefined,4,Top,2,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
153,9/10/24,7,2,"Shaw, Greg",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,Undefined,4,Top,2,0,1,Fastball,BallCalled,Undefined,Undefined,StolenBase,0,0,
154,9/10/24,7,3,"Shaw, Greg",Right,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,Undefined,4,Top,2,1,1,Slider,InPlay,Undefined,GroundBall,Single,0,1,103.4
155,9/10/24,8,1,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,4,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
156,9/10/24,8,2,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,4,Top,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
157,9/10/24,8,3,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,4,Top,2,2,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
158,9/10/24,8,4,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,4,Top,2,2,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
159,9/10/24,8,5,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,4,Top,2,2,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,
160,9/10/24,8,6,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,4,Top,2,3,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
161,9/10/24,8,7,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,4,Top,2,3,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
162,9/10/24,8,8,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,4,Top,2,3,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
163,9/10/24,8,9,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,4,Top,2,3,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
164,9/10/24,8,10,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,4,Top,2,3,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,75.1
165,9/10/24,8,11,"Shaw, Greg",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,Undefined,4,Top,2,3,2,Slider,BallCalled,Walk,Undefined,Undefined,0,0,
166,9/10/24,1,1,"Mach, Alex",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,4,Bottom,0,0,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
167,9/10/24,1,2,"Mach, Alex",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,4,Bottom,0,0,1,Fastball,InPlay,Undefined,GroundBall,Out,1,0,19.1
168,9/10/24,2,1,"Mach, Alex",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,Undefined,4,Bottom,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
169,9/10/24,2,2,"Mach, Alex",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,Undefined,4,Bottom,1,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
170,9/10/24,2,3,"Mach, Alex",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,Undefined,4,Bottom,1,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
171,9/10/24,2,4,"Mach, Alex",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,Undefined,4,Bottom,1,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
172,9/10/24,2,5,"Mach, Alex",Right,UCO_HUS,"Dalena, Maddix",Left,UCO_HUS,Undefined,4,Bottom,1,2,2,Changeup,InPlay,Undefined,GroundBall,Out,1,0,101.5
173,9/10/24,3,1,"Mach, Alex",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,Undefined,4,Bottom,2,0,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
174,9/10/24,3,2,"Mach, Alex",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,Undefined,4,Bottom,2,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
175,9/10/24,3,3,"Mach, Alex",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,Undefined,4,Bottom,2,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
176,9/10/24,3,4,"Mach, Alex",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,Undefined,4,Bottom,2,1,2,Slider,InPlay,Undefined,FlyBall,Out,1,0,76.4
177,9/10/24,1,1,"Hamberger, Evan",Left,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,Undefined,5,Top,0,0,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,91.7
178,9/10/24,2,1,"Hamberger, Evan",Left,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,Undefined,5,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
179,9/10/24,2,2,"Hamberger, Evan",Left,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,Undefined,5,Top,1,0,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
180,9/10/24,2,3,"Hamberger, Evan",Left,UCO_HUS,"Suchy, Cayden",Left,UCO_HUS,Undefined,5,Top,1,0,2,Slider,InPlay,Undefined,LineDrive,Single,0,0,101.2
181,9/10/24,3,1,"Hamberger, Evan",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,Undefined,5,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
182,9/10/24,3,2,"Hamberger, Evan",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,Undefined,5,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
183,9/10/24,3,3,"Hamberger, Evan",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,Undefined,5,Top,1,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,
184,9/10/24,3,4,"Hamberger, Evan",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,Undefined,5,Top,1,2,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
185,9/10/24,3,5,"Hamberger, Evan",Left,UCO_HUS,"Biller, Sam",Left,UCO_HUS,Undefined,5,Top,1,2,2,Slider,InPlay,Undefined,LineDrive,Single,0,0,72.3
186,9/10/24,4,1,"Hamberger, Evan",Left,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,5,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
187,9/10/24,4,2,"Hamberger, Evan",Left,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,5,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,
188,9/10/24,4,3,"Hamberger, Evan",Left,UCO_HUS,"Dougherty, Aidan",Right,UCO_HUS,Undefined,5,Top,1,0,2,Changeup,InPlay,Undefined,LineDrive,Single,0,0,79.7
189,9/10/24,5,1,"Hamberger, Evan",Left,UCO_HUS,"Padilla, Bryan",Right,UCO_HUS,Undefined,5,Top,1,0,0,Fastball,InPlay,Undefined,GroundBall,Out,1,1,84.2
190,9/10/24,6,1,"Hamberger, Evan",Left,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,5,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
191,9/10/24,6,2,"Hamberger, Evan",Left,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,5,Top,2,1,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
192,9/10/24,6,3,"Hamberger, Evan",Left,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,5,Top,2,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
193,9/10/24,6,4,"Hamberger, Evan",Left,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,5,Top,2,2,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
194,9/10/24,6,5,"Hamberger, Evan",Left,UCO_HUS,"Garbowski, Matt",Left,UCO_HUS,Undefined,5,Top,2,2,2,Fastball,StrikeSwinging,Strikeout,Undefined,Out,1,0,
195,9/10/24,1,1,"Conte, Giovanni",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,Undefined,5,Bottom,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
196,9/10/24,1,2,"Conte, Giovanni",Right,UCO_HUS,"Rispoli, Robert",Right,UCO_HUS,Undefined,5,Bottom,0,0,1,Curveball,BallCalled,HitByPitch,Undefined,Undefined,0,0,
197,9/10/24,2,1,"Conte, Giovanni",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,Undefined,5,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
198,9/10/24,2,2,"Conte, Giovanni",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,Undefined,5,Bottom,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
199,9/10/24,2,3,"Conte, Giovanni",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,Undefined,5,Bottom,0,2,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
200,9/10/24,2,4,"Conte, Giovanni",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,Undefined,5,Bottom,0,2,1,Fastball,StrikeCalled,Undefined,Undefined,StolenBase,0,0,
201,9/10/24,2,5,"Conte, Giovanni",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,Undefined,5,Bottom,0,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
202,9/10/24,2,6,"Conte, Giovanni",Right,UCO_HUS,"Root, Beau",Left,UCO_HUS,Undefined,5,Bottom,0,3,2,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,
203,9/10/24,3,1,"Conte, Giovanni",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,Undefined,5,Bottom,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
204,9/10/24,3,2,"Conte, Giovanni",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,Undefined,5,Bottom,0,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
205,9/10/24,3,3,"Conte, Giovanni",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,Undefined,5,Bottom,0,2,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
206,9/10/24,3,4,"Conte, Giovanni",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,Undefined,5,Bottom,0,2,1,Fastball,BallCalled,Undefined,Undefined,StolenBase,0,0,
207,9/10/24,3,5,"Conte, Giovanni",Right,UCO_HUS,"Lane, Connor",Right,UCO_HUS,Undefined,5,Bottom,0,3,1,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,
208,9/10/24,4,1,"Conte, Giovanni",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,Undefined,5,Bottom,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
209,9/10/24,4,2,"Conte, Giovanni",Right,UCO_HUS,"Shpur, Caleb",Right,UCO_HUS,Undefined,5,Bottom,0,0,1,Fastball,InPlay,Undefined,FlyBall,Sacrifice,1,1,90.9
210,9/10/24,5,1,"Conte, Giovanni",Right,UCO_HUS,"Daniels, Ryan",Right,UCO_HUS,Undefined,5,Bottom,1,0,0,Fastball,CalledStrike,Undefined,Undefined,Undefined,0,0,
211,9/10/24,5,2,"Conte, Giovanni",Right,UCO_HUS,"Daniels, Ryan",Right,UCO_HUS,Undefined,5,Bottom,1,0,1,Slider,InPlay,Undefined,LineDrive,Sacrifice,1,1,103.6
212,9/10/24,6,1,"Conte, Giovanni",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,5,Bottom,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
213,9/10/24,6,2,"Conte, Giovanni",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,5,Bottom,2,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
214,9/10/24,6,3,"Conte, Giovanni",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,5,Bottom,2,2,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
215,9/10/24,6,4,"Conte, Giovanni",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,5,Bottom,2,2,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
216,9/10/24,6,5,"Conte, Giovanni",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,5,Bottom,2,3,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
217,9/10/24,6,6,"Conte, Giovanni",Right,UCO_HUS,"Minick, Tyler",Right,UCO_HUS,Undefined,5,Bottom,2,3,2,Fastball,InPlay,Undefined,Flyout,Out,1,0,92.2
