PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed
31,9/12/24,2,1,"Wolff, Devin",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,2,Top,1,0,0,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,78.9
32,9/12/24,2,2,"Wolff, Devin",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,2,Top,0,0,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
33,9/12/24,2,3,"Wolff, Devin",Right,UCO_HUS,"Groen, Carter",Right,UCO_HUS,2,Top,0,0,2,Slider,StrikeSwinging,Strikeout,Undefined,Out,1,0,
34,9/12/24,3,1,"Wolff, Devin",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,2,Top,2,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
35,9/12/24,3,2,"Wolff, Devin",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,2,Top,2,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
36,9/12/24,3,3,"Wolff, Devin",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,2,Top,2,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
37,9/12/24,3,4,"Wolff, Devin",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,2,Top,2,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
38,9/12/24,3,5,"Wolff, Devin",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,2,Top,2,3,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
39,9/12/24,3,6,"Wolff, Devin",Right,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,2,Top,2,3,2,Fastball,StrikeCalled,Strikeout,Undefined,Out,1,0,
40,9/12/24,1,1,"Suchy, Cayden",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
41,9/12/24,1,2,"Suchy, Cayden",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,1,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
42,9/12/24,1,3,"Suchy, Cayden",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,1,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
43,9/12/24,1,4,"Suchy, Cayden",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
44,9/12/24,1,5,"Suchy, Cayden",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
45,9/12/24,1,6,"Suchy, Cayden",Left,UCO_HUS,"Root, Beau",Left,UCO_HUS,2,Bottom,0,3,2,Fastball,InPlay,Undefined,GroundBall,Single,0,0,95.3
46,9/12/24,2,1,"Suchy, Cayden",Left,UCO_HUS,"Lane, Connor",Right,UCO_HUS,2,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
47,9/12/24,2,2,"Suchy, Cayden",Left,UCO_HUS,"Lane, Connor",Right,UCO_HUS,2,Bottom,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
48,9/12/24,2,3,"Suchy, Cayden",Left,UCO_HUS,"Lane, Connor",Right,UCO_HUS,2,Bottom,0,1,1,Changeup,BallCalled,Undefined,Undefined,StolenBase,1,0,
49,9/12/24,2,4,"Suchy, Cayden",Left,UCO_HUS,"Lane, Connor",Right,UCO_HUS,2,Bottom,1,2,1,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
50,9/12/24,2,5,"Suchy, Cayden",Left,UCO_HUS,"Lane, Connor",Right,UCO_HUS,2,Bottom,0,2,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,58.3
51,9/12/24,3,1,"Suchy, Cayden",Left,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,2,Bottom,2,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,
52,9/12/24,3,2,"Suchy, Cayden",Left,UCO_HUS,"Belisario, Anthony",Right,UCO_HUS,2,Bottom,0,1,0,Fastball,InPlay,Undefined,GroundBall,Out,1,0,73.9
53,9/12/24,1,1,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,0,0,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
54,9/12/24,1,2,"Meyers, Paxton",Right,UCO_HUS,"Kron, Drew",Right,UCO_HUS,3,Top,0,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
