PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed
135,9/12/24,3,7,"Norrell, Owen",Left,UCO_HUS,"LaRose, Jack",Left,UCO_HUS,5,Top,1,3,2,Slider,BallCalled,Walk,Undefined,Undefined,0,0,
136,9/12/24,4,1,"Norrell, Owen",Left,UCO_HUS,"Kron, Drew",Right,UCO_HUS,5,Top,1,0,0,Fastball,BallCalled,HitbyPitch,Undefined,Undefined,0,0,
137,9/12/24,5,1,"Norrell, Owen",Left,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,5,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
138,9/12/24,5,2,"Norrell, Owen",Left,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,5,Top,1,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
139,9/12/24,5,3,"Norrell, Owen",Left,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,5,Top,1,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
140,9/12/24,5,4,"Norrell, Owen",Left,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,5,Top,1,1,2,Fastball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
141,9/12/24,5,5,"Norrell, Owen",Left,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,5,Top,1,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
142,9/12/24,5,6,"Norrell, Owen",Left,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,5,Top,1,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,
143,9/12/24,5,7,"Norrell, Owen",Left,UCO_HUS,"Tirado, Gabriel",Left,UCO_HUS,5,Top,1,3,2,Fastball,BallCalled,Walk,Undefined,Undefined,0,1,
144,9/12/24,6,1,"Norrell, Owen",Left,UCO_HUS,"Oates, Michael",RIght,UCO_HUS,5,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,
145,9/12/24,6,2,"Norrell, Owen",Left,UCO_HUS,"Oates, Michael",RIght,UCO_HUS,5,Top,1,0,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,
146,9/12/24,6,3,"Norrell, Owen",Left,UCO_HUS,"Oates, Michael",RIght,UCO_HUS,5,Top,1,0,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
147,9/12/24,6,4,"Norrell, Owen",Left,UCO_HUS,"Oates, Michael",RIght,UCO_HUS,5,Top,1,0,2,Fastball ,BallCalled,Undefined,Undefined,Undefined,0,0,
148,9/12/24,6,5,"Norrell, Owen",Left,UCO_HUS,"Oates, Michael",RIght,UCO_HUS,5,Top,1,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
149,9/12/24,6,6,"Norrell, Owen",Left,UCO_HUS,"Oates, Michael",RIght,UCO_HUS,5,Top,1,2,2,Fastball,BallCalled,Undefined,Undefined,WildPitch,0,1,
150,9/12/24,6,7,"Norrell, Owen",Left,UCO_HUS,"Oates, Michael",RIght,UCO_HUS,5,Top,1,3,2,Fastball,StrikeSwinging,Strikeout,Undefined,Out,1,0,
151,9/12/24,7,1,"Norrell, Owen",Left,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,5,Top,2,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,
152,9/12/24,7,2,"Norrell, Owen",Left,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,5,Top,2,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,
153,9/12/24,7,3,"Norrell, Owen",Left,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,5,Top,2,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,
154,9/12/24,7,4,"Norrell, Owen",Left,UCO_HUS,"Daniels, Ryan",Left,UCO_HUS,5,Top,2,1,2,Slider,InPlay,Undefined,LineDrive,Out,1,0,76.3
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-,,,,
